physical_dataset_id,source_file_id,upstream_path,source_file_url,upstream_revision,source_sha256,git_lfs_oid,size_bytes,reaction_count,license_id,verification_status
ord_dataset-2be30f5d8dcd471aa6ad410bdee05902,ord_dataset-2be30f5d8dcd471aa6ad410bdee05902,data/2b/ord_dataset-2be30f5d8dcd471aa6ad410bdee05902.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/2b/ord_dataset-2be30f5d8dcd471aa6ad410bdee05902.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,6846bf47bd0d9652d1164f1dbc65cf730502e117131778499b8a10a98ef828b7,6846bf47bd0d9652d1164f1dbc65cf730502e117131778499b8a10a98ef828b7,17947,97,CC-BY-SA-4.0,verified
ord_dataset-31989f1b2b9d4885b1dd2d9982da4517,ord_dataset-31989f1b2b9d4885b1dd2d9982da4517,data/31/ord_dataset-31989f1b2b9d4885b1dd2d9982da4517.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/31/ord_dataset-31989f1b2b9d4885b1dd2d9982da4517.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,60f4f1bf9fd81166ce59e3ad8915310b0af5bca13956cab3b331748c1d3194dd,60f4f1bf9fd81166ce59e3ad8915310b0af5bca13956cab3b331748c1d3194dd,17258,96,CC-BY-SA-4.0,verified
ord_dataset-35a5a513f1dd44a3a97c88da99f81a00,ord_dataset-35a5a513f1dd44a3a97c88da99f81a00,data/35/ord_dataset-35a5a513f1dd44a3a97c88da99f81a00.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/35/ord_dataset-35a5a513f1dd44a3a97c88da99f81a00.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,59f2cdd054631bde7354e21fc7080f0b80ebf2b5379f8ccd78b2df79d86b25d8,59f2cdd054631bde7354e21fc7080f0b80ebf2b5379f8ccd78b2df79d86b25d8,19743,7,CC-BY-SA-4.0,verified
ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72,ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72,data/3b/ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/3b/ord_dataset-3b5db90e337942ea886b8f5bc5e3aa72.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,fce2d70c28db7100b3ca5c3f298484daf4c4043c11a18da066db16ad2e36012c,fce2d70c28db7100b3ca5c3f298484daf4c4043c11a18da066db16ad2e36012c,43118,450,CC-BY-SA-4.0,verified
ord_dataset-3b8a2ef300e145468579027f206a3ac8,ord_dataset-3b8a2ef300e145468579027f206a3ac8,data/3b/ord_dataset-3b8a2ef300e145468579027f206a3ac8.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/3b/ord_dataset-3b8a2ef300e145468579027f206a3ac8.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,f8438f4490541ecd38d92208decc48ff33424d52772cc42701b7eb886fc14b8a,f8438f4490541ecd38d92208decc48ff33424d52772cc42701b7eb886fc14b8a,184557,1440,CC-BY-SA-4.0,verified
ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3,ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3,data/46/ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/46/ord_dataset-46ff9a32d9e04016b9380b1b1ef949c3.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,39440ea3e5442dddbb4daccbc48fb53940724085327c0e3b82909e1fd8cc661a,39440ea3e5442dddbb4daccbc48fb53940724085327c0e3b82909e1fd8cc661a,395126,4312,CC-BY-SA-4.0,verified
ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41,ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41,data/47/ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/47/ord_dataset-47eaacc46c3a4487bbdf99adb1a15e41.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,7e09c98aa540e15d44959f03028590278bf508650950778568fd264d3a7535c4,7e09c98aa540e15d44959f03028590278bf508650950778568fd264d3a7535c4,8261981,47015,CC-BY-SA-4.0,verified
ord_dataset-488402f6ec0d441ca2f7d6fabea7c220,ord_dataset-488402f6ec0d441ca2f7d6fabea7c220,data/48/ord_dataset-488402f6ec0d441ca2f7d6fabea7c220.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/48/ord_dataset-488402f6ec0d441ca2f7d6fabea7c220.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,d1b658a9ed389f226baa003488c226fbd00dc35c44fc8e5029ef74b030928788,d1b658a9ed389f226baa003488c226fbd00dc35c44fc8e5029ef74b030928788,10249187,40000,CC-BY-SA-4.0,verified
ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6,ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6,data/4d/ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/4d/ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,be51ac3256a9f6793893bd59878f44f223f50ad530a1f71da0c408abf36ef70a,be51ac3256a9f6793893bd59878f44f223f50ad530a1f71da0c408abf36ef70a,17114,90,CC-BY-SA-4.0,verified
ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4,ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4,data/52/ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/52/ord_dataset-52bd3b0ec72c443aab113bcea09bf3f4.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,e3bf70610705d361b92b40c09ceaffff3d4f66002e958e5ea9c47bba9095297a,e3bf70610705d361b92b40c09ceaffff3d4f66002e958e5ea9c47bba9095297a,10583,96,CC-BY-SA-4.0,verified
ord_dataset-5415f83da68e4797856ddd330dda5c61,ord_dataset-5415f83da68e4797856ddd330dda5c61,data/54/ord_dataset-5415f83da68e4797856ddd330dda5c61.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/54/ord_dataset-5415f83da68e4797856ddd330dda5c61.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,a186a7a7264e94fd958787a5a6a9d810e9c9c00608f1c6e136416098c39a2165,a186a7a7264e94fd958787a5a6a9d810e9c9c00608f1c6e136416098c39a2165,25251,48,CC-BY-SA-4.0,verified
ord_dataset-5481550056a14935b76e031fb94b88be,ord_dataset-5481550056a14935b76e031fb94b88be,data/54/ord_dataset-5481550056a14935b76e031fb94b88be.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/54/ord_dataset-5481550056a14935b76e031fb94b88be.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,48508c30931b04b4fe2e3bee55b84c83d10f57578c1ed5ccddbfb81875575702,48508c30931b04b4fe2e3bee55b84c83d10f57578c1ed5ccddbfb81875575702,7666127,30000,CC-BY-SA-4.0,verified
ord_dataset-5540e162c09f4c04905ddc8ba9c931c6,ord_dataset-5540e162c09f4c04905ddc8ba9c931c6,data/55/ord_dataset-5540e162c09f4c04905ddc8ba9c931c6.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/55/ord_dataset-5540e162c09f4c04905ddc8ba9c931c6.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,7e44b014c9041d86e00bc4fb4b70b3c6b3b94c0e35634467ace02c330efcd1a4,7e44b014c9041d86e00bc4fb4b70b3c6b3b94c0e35634467ace02c330efcd1a4,13289,3,CC-BY-SA-4.0,verified
ord_dataset-55de08a995554f558c25fc43eac62359,ord_dataset-55de08a995554f558c25fc43eac62359,data/55/ord_dataset-55de08a995554f558c25fc43eac62359.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/55/ord_dataset-55de08a995554f558c25fc43eac62359.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,9e4c3fefafe68d6cb43d5a39b8c441f440ce0c4626abbbe695c922089557b0f7,9e4c3fefafe68d6cb43d5a39b8c441f440ce0c4626abbbe695c922089557b0f7,11719,48,CC-BY-SA-4.0,verified
ord_dataset-5c9a10329a8a48968d18879a48bb8ab2,ord_dataset-5c9a10329a8a48968d18879a48bb8ab2,data/5c/ord_dataset-5c9a10329a8a48968d18879a48bb8ab2.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/5c/ord_dataset-5c9a10329a8a48968d18879a48bb8ab2.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,a2ea1363cb895b590ae765e918f98f90d243d6caba763ed74543ae62e503b0b0,a2ea1363cb895b590ae765e918f98f90d243d6caba763ed74543ae62e503b0b0,712770,9632,CC-BY-SA-4.0,verified
ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c,ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c,data/5e/ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/5e/ord_dataset-5e8318f0dda04b398c14f4c3adfeb32c.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,94de6b8e87229d5db4fe8c17212afa2d3563478ca32aee934cc449559cab0bca,94de6b8e87229d5db4fe8c17212afa2d3563478ca32aee934cc449559cab0bca,8027,24,CC-BY-SA-4.0,verified
ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd,ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd,data/5e/ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd.parquet,https://github.com/open-reaction-database/ord-data/blob/83f971f586f6ad18f358ae4ae99d045e94ed2066/data/5e/ord_dataset-5eb7f2689f4a42eba63ad9e37e49a5cd.parquet,83f971f586f6ad18f358ae4ae99d045e94ed2066,2f478e163ab9f9ee2f001172fc9f0c33b0a65ec2dc787c12298f6e85bc86f7a6,2f478e163ab9f9ee2f001172fc9f0c33b0a65ec2dc787c12298f6e85bc86f7a6,11134,39,CC-BY-SA-4.0,verified
